Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"BOSUTINIB 100 mg, comprimé pelliculé"
"BOSUTINIB 400 mg, comprimé pelliculé"
"BOSUTINIB 500 mg, comprimé pelliculé"
"BOTOX 100 UNITÉS ALLERGAN, poudre pour solution injectable"
"BOTOX 200 UNITÉS ALLERGAN, poudre pour solution injectable"
"BOTOX 50 UNITÉS ALLERGAN, poudre pour solution injectable"
"BRAFTOVI 50 m,g gélule"
"BRAFTOVI 75 mg, gélule"
"BREAKYL 200 microgrammes, film orodispersible"
"BREAKYL 400 microgrammes, film orodispersible"
"BREVIBLOC 10 mg/ml, solution pour perfusion"
"BREVIBLOC 100 mg/10 ml, solution injectable en flacon"
"BREXIN 20 mg, comprimé effervescent"
"BREXIN 20 mg, comprimé sécable"
"BREYANZI 1,1 à 70 × 1 000 000 cellules/ml / 1,1 à 70 × 1 000 000 cellules/ml, dispersion pour perfusion"
"BRICANYL 0,5 mg/1 ml, solution injectable en ampoule"
"BRICANYL 5 mg/2 mL, solution pour inhalation par nébuliseur en récipient unidose"
"BRICANYL L.P. 5 mg, comprimé à libération prolongée"
"BRICANYL TURBUHALER 500 microgrammes/dose, poudre pour inhalation"
"BRIDION 100 mg/mL, solution injectable"
"BRILIQUE 90 mg, comprimé orodispersible"
"BRILIQUE 90 mg, comprimé pelliculé"
"BRIMAZED 2 mg/mL, collyre en solution en récipient unidose"
"BRIMONIDINE 0,2 % (2 mg/mL), collyre en solution"
"BRIMONIDINE 0,2 % (2 mg/ml), collyre en solution"
"BRIMONIDINE CHAUVIN 2 mg/ml, collyre en solution"
"BRIMONIDINE/TIMOLOL 2 mg/mL + 5 mg/mL, collyre en solution"
"BRIMONIDINE/TIMOLOL 2 mg/ml + 5 mg/ml, collyre en solution"
"BRINEURA 150 mg, solution pour perfusion"
"BRINTELLIX 10 mg, comprimé pelliculé"
"BRINTELLIX 15 mg, comprimé pelliculé"
"BRINTELLIX 20 mg, comprimé pelliculé"
"BRINTELLIX 5 mg, comprimé pelliculé"
"BRINZOLAMIDE 10 mg/mL, collyre en suspension"
"BRINZOLAMIDE 10 mg/ml, collyre en suspension"
"BRINZOLAMIDE/BRIMONIDINE 10 mg/2 mg par mL, collyre en suspension"
"BRINZOLAMIDE/TIMOLOL 10 mg/5 mg par mL, collyre en suspension"
"BRINZOLAMIDE/TIMOLOL 10 mg/mL + 5 mg/mL, collyre en suspension"
"BRIVIACT 10 mg, comprimé pelliculé"
"BRIVIACT 10 mg/ml, solution buvable"
"BRIVIACT 10 mg/ml, solution injectable/pour perfusion"
"BRIVIACT 100 mg, comprimé pelliculé"
"BRIVIACT 25 mg, comprimé pelliculé"
"BRIVIACT 50 mg, comprimé pelliculé"
"BRIVIACT 75 mg, comprimé pelliculé"
"BROMAZEPAM 1,5 mg, comprimé"
"BROMAZEPAM 6 mg, comprimé quadrisécable"
"BROMHYDRATE DE SCOPOLAMINE RENAUDIN 0,025 %, solution injectable"
"BRONCALENE ADULTES, sirop"
"BRONCALENE ENFANTS, sirop"
"BRONCATHIOL ENFANTS, solution buvable"
"BRONCATHIOL EXPECTORANT ADULTES, solution buvable"
"BRONCHEX 750 mg/15 ml ADULTES SANS SUCRE, solution buvable en sachet édulcorée à la saccharine sodique et au maltitol liquide"
"BRONCHODERMINE ADULTES, suppositoire"
"BRONCHODERMINE ENFANTS, suppositoire"
"BRONCHODERMINE, pommade"
"BRONCHODUAL 50 microgrammes/20 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BRONCHOKOD 2 POUR CENT ENFANTS, sirop"
"BRONCHOKOD ADULTES 5 POUR CENT, solution buvable édulcorée à la saccharine sodique et au maltitol liquide"
"BRONCHOKOD ADULTES, sirop"
"BRONCHOKOD ENFANTS 2 POUR CENT, sirop"
"BRONCHOKOD SANS SUCRE ENFANTS 2 POUR CENT, solution buvable édulcorée à la saccharine sodique"
"BRONPHYTO, pastille"
"BRONWEL, solution buvable"
"BRUFEN 400 mg, comprimé pelliculé"
"BRUKINSA 80 mg, gélule"
"BRULEX, pommade"
"BUCCOBET 0,1 mg, comprimé à sucer"
"BUCCOLAM 10 mg, solution buccale"
"BUCCOLAM 2,5 mg, solution buccale"
"BUCCOLAM 5 mg, solution buccale"
"BUCCOLAM 7,5 mg, solution buccale"
"BUDESONIDE 0,5 mg/2 mL, suspension pour inhalation par nébuliseur en récipient unidose"
"BUDESONIDE 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose"
"BUDESONIDE 0,50 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose"
"BUDESONIDE 1 mg/2 mL, suspension pour inhalation par nébuliseur en récipient unidose"
"BUDESONIDE 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose"
"BUDESONIDE 3 mg, gélule à libération modifiée"
"BUDESONIDE 64 microgrammes/dose, suspension pour pulvérisation nasale"
"BUDESONIDE/FORMOTEROL FORSPIRO 160 microgrammes/4,5 microgrammes/dose, poudre pour inhalation en récipient unidose"
"BUDESONIDE/FORMOTEROL FORSPIRO 320 microgrammes/9 microgrammes/dose, poudre pour inhalation en récipient unidose"
"BUGVI 5 mg/mL, poudre pour dispersion pour perfusion"
"BUPENSAN 2 mg, comprimé sublingual"
"BUPENSAN 4 mg, comprimé sublingual"
"BUPENSAN 8 mg, comprimé sublingual"
"BUPIVACAINE 2,5 mg/mL, solution injectable"
"BUPIVACAINE 20 mg/4 ml, solution injectable pour voie intra rachidienne en ampoule"
"BUPIVACAINE 5 mg/mL, solution injectable"
"BUPIVACAINE AGUETTANT 2,5 mg/ml, solution injectable"
"BUPIVACAINE AGUETTANT 5 mg/ml, solution injectable"
"BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT 5 mg/ml, solution injectable (voie intrarachidienne)"
"BUPRENORPHINE 0,4 mg, comprimé sublingual"
"BUPRENORPHINE 1 mg, comprimé sublingual"
"BUPRENORPHINE 2 mg, comprimé sublingual"
"BUPRENORPHINE 4 mg, comprimé sublingual"
"BUPRENORPHINE 6 mg, comprimé sublingual"
"BUPRENORPHINE 8 mg, comprimé sublingual"
"BUPRENORPHINE/NALOXONE 2 mg/0,5 mg, comprimé sublingual sécable"
"BUPRENORPHINE/NALOXONE 4 mg/1 mg, comprimé sublingual sécable"
"BUPRENORPHINE/NALOXONE 8 mg/2 mg, comprimé sublingual sécable"
"BURINEX 1 mg, comprimé"
"BURINEX 2 mg/4 ml IV, solution injectable en ampoule"
"BURINEX 5 mg, comprimé"
"BUSILVEX 6 mg/ml, solution à diluer pour perfusion"
"BUSPIRONE 10 mg, comprimé sécable"
"BUSULFAN 6 mg/mL, solution à diluer pour perfusion"
"BUSULFAN FRESENIUS KABI 6 mg/ml, solution à diluer pour perfusion"
"BUSULFAN TILLOMED 6 mg/ml, solution à diluer pour perfusion"
"BUVIDAL 128 mg, solution injectable à libération prolongée"
"BUVIDAL 16 mg, solution injectable à libération prolongée"
"BUVIDAL 160 mg, solution injectable à libération prolongée"
"BUVIDAL 24 mg, solution injectable à libération prolongée"
"BUVIDAL 32 mg, solution injectable à libération prolongée"
"BUVIDAL 64 mg, solution injectable à libération prolongée"
"BUVIDAL 8 mg, solution injectable à libération prolongée"
"BUVIDAL 96 mg, solution injectable à libération prolongée"
"BYDUREON 2 mg, poudre et solvant pour suspension injectable à libération prolongée en stylo prérempli"
"BYETTA 10 microgrammes, solution injectable, stylo prérempli"
"BYETTA 5 microgrammes, solution injectable, stylo prérempli"
"BYFAVO 20 mg, poudre pour solution injectable"
"BYLVAY 1200 microgrammes, gélule"
"BYLVAY 200 microgrammes, gélule"
"BYLVAY 400 microgrammes, gélule"
"BYLVAY 600 microgrammes, gélule"
"BYOOVIZ 10 mg/mL, solution injectable"
"CABAZITAXEL 10 mg/mL, solution à diluer pour perfusion"
"CABAZITAXEL 20 mg/mL, solution à diluer pour perfusion"
"CABAZITAXEL 20 mg/mL, solution à diluer pour solution pour perfusion"
"CABAZITAXEL 20 mg/ml, solution à diluer pour perfusion"
"CABAZITAXEL EVER PHARMA 10 mg/ml, solution à diluer pour perfusion"
"CABAZITAXEL PHARMA 10 mg/mL, solution à diluer pour perfusion"
"CABAZITAXEL REDDY PHARMA 60 mg, solution à diluer et solvant pour solution pour perfusion"
"CABAZITAXEL TILLOMED 60 mg, solution à diluer et solvant pour solution pour perfusion"
"CABERGOLINE 0,5 mg, comprimé"
"CABERGOLINE 0,5 mg, comprimé sécable"
"CABESOL 500 microgrammes/g, shampooing"
"CABLIVI 10 mg, poudre et solvant pour solution injectable"
"CABOMETYX 20 mg, comprimé pelliculé"
"CABOMETYX 40 mg, comprimé pelliculé"
"CABOMETYX 60 mg, comprimé pelliculé"
"CACIT 1000 mg, comprimé effervescent"
"CACIT 500 mg, comprimé effervescent"
"CACIT VITAMINE D3 1000 mg/880 UI, granulés effervescents pour solution buvable en sachet"
"CACIT VITAMINE D3 500 mg/1000 U.I., comprimé à sucer ou à croquer"
"CACIT VITAMINE D3 500 mg/440 UI, comprimé à sucer ou à croquer"
"CADDERA 100 mmol/L, solution pour perfusion"
"CADELIUS 600 mg/1000 UI, comprimé orodispersible"
"CADUET 10 mg/10 mg, comprimé pelliculé"
"CADUET 5 mg/10 mg, comprimé pelliculé"
"CAELYX PEGYLATED LIPOSOMAL 2 mg/ml, solution à diluer pour perfusion"
"CALCIBRONAT 2 g, comprimé effervescent"
"CALCIDIA 1,54 g, granulé pour suspension buvable en sachet-dose"
"CALCIDOSE 500, poudre pour suspension buvable en sachet"
"CALCIDOSE VITAMINE D3 500 mg/400 UI, poudre pour solution buvable en sachet"
"CALCIDOSE VITAMINE D3, 500 mg/800 UI, poudre pour solution buvable en sachet"
"CALCIFEDIOL DESMA 15 mg/100 ml, solution buvable en gouttes"
"CALCIFEDIOL GERDA 15 mg/100 mL, solution buvable en gouttes"
"CALCIFORTE 500 mg, solution buvable en ampoule édulcorée au cyclamate de sodium et à la saccharine sodique"
"CALCIFORTE VITAMINE D3, comprimé à croquer, à sucer ou dispersible"
"CALCIPARINE 5 000 UI/0,2 ml, solution injectable en seringue pré-remplie (sous cutanée)"
"CALCIPARINE 7 500 UI/0,3 ml, solution injectable en seringue pré-remplie (sous cutanée)"
"CALCIPARINE SOUS CUTANEE 12 500 UI/0,5 ml, solution injectable"
"CALCIPARINE SOUS CUTANEE 20 000 UI/0,8 ml, solution injectable"
"CALCIPARINE SOUS CUTANEE 25 000 UI/1 ml, solution injectable"
"CALCIPOTRIOL/BETAMETHASONE 50 microgrammes/0,5 mg/g, pommade"
"CALCIPRAT 1000 mg, comprimé à sucer"
"CALCIPRAT 500 mg, comprimé à sucer"
"CALCIPRAT 750 mg, comprimé à sucer"
"CALCIPRAT VITAMINE D3 1000 mg/800 UI, comprimé à sucer"
"CALCIPRAT VITAMINE D3 500 mg/400 UI, comprimé à sucer"
"CALCITONINE 50 U.I./1 ml, solution injectable"
"CALCITONINE PHARMY II 100 U.I./1 ml, solution injectable"
"CALCIUM 500 mg, comprimé effervescent"
"CALCIUM 500 mg, comprimé à sucer"
"CALCIUM COOPER 500 mg, comprimé à sucer ou à croquer"
"CALCIUM EDETATE DE SODIUM SERB 50 mg/ml, solution injectable I.V."
"CALCIUM VITAMINE D3 500 mg/400 UI, comprimé à croquer ou à sucer"
"CALCIUM VITAMINE D3 500 mg/400 UI, comprimé à sucer"
"CALCIUM VITAMINE D3 500 mg/400 UI, comprimé à sucer ou à croquer"
"CALCIUM VITAMINE D3 BENTA 500 mg/400 UI, comprimé à sucer ou à croquer"
"CALCIUM/VITAMINE D3 500 mg/400 U.I., comprimé à croquer ou à sucer"
"CALENDULA COMPLEXE N°89, solution buvable en gouttes"
"CALPEROS 500 mg, comprimé à sucer sécable"
"CALPEROS D3, comprimé à sucer"
"CALPRIMUM 500 mg, comprimé enrobé à croquer"
"CALQUENCE 100 mg, comprimé pelliculé"
"CALQUENCE 100 mg, gélule"
"CALTRATE 600 mg, comprimé pelliculé"
"CALTRATE VITAMINE D3 600 mg/400 UI, comprimé pelliculé"
"CALYPTOL INHALANT, émulsion pour inhalation par fumigation"
"CAMILIA, solution buvable en récipient unidose"
"CAMPHRICE DU CANADA 4 POUR CENT, bâton pour application locale"
"CAMZYOS 10 mg, gélule"
"CAMZYOS 15 mg, gélule"
"CAMZYOS 2,5 mg, gélule"
"CAMZYOS 5 mg, gélule"
"CANDAZOL 300 mg, ovule"
"CANDESARTAN 16 mg, comprimé sécable"
"CANDESARTAN 32 mg, comprimé sécable"
"CANDESARTAN 4 mg, comprimé sécable"
"CANDESARTAN 8 mg, comprimé sécable"
"CANDESARTAN HCS 16 mg, comprimé"
"CANDESARTAN HCS 32 mg, comprimé"
"CANDESARTAN HCS 4 mg, comprimé"
"CANDESARTAN HCS 8 mg, comprimé"
"CANDESARTAN PHARMA 16 mg, comprimé sécable"
"CANDESARTAN PHARMA 8 mg, comprimé sécable"
"CANDESARTAN/HYDROCHLOROTHIAZIDE 16 mg/12,5 mg, comprimé"
"CANDESARTAN/HYDROCHLOROTHIAZIDE 16 mg/12,5 mg, comprimé sécable"
"CANDESARTAN/HYDROCHLOROTHIAZIDE 8 mg/12,5 mg, comprimé"
"CANDESARTAN/HYDROCHLOROTHIAZIDE 8 mg/12,5 mg, comprimé sécable"
"CANDESARTAN/HYDROCHLOROTHIAZIDE HCS 16 mg/12,5 mg, comprimé"
"CANDESARTAN/HYDROCHLOROTHIAZIDE HCS 8 mg/12,5 mg, comprimé"
"CANEPHRON, comprimé pelliculé"
"CANTABILINE 400 mg, comprimé"
"CANTALENE, comprimé à sucer"
"CAPECITABINE 150 mg, comprimé pelliculé"
"CAPECITABINE 500 mg, comprimé pelliculé"
"CAPECITABINE K.S 150 mg, comprimé pelliculé"
"CAPECITABINE K.S 500 mg, comprimé pelliculé"
"CAPRELSA 100 mg, comprimé pelliculé"
"CAPRELSA 300 mg, comprimé pelliculé"
"CAPTOPRIL 25 mg, comprimé quadrisécable"
"CAPTOPRIL 25 mg, comprimé sécable"
"CAPTOPRIL 50 mg, comprimé quadrisécable"
"CAPTOPRIL 50 mg, comprimé sécable"
"CAPTOPRIL HYDROCHLOROTHIAZIDE 50 mg/25 mg, comprimé sécable"
"CAPTOPRIL/HYDROCHLOROTHIAZIDE 50 mg/25 mg, comprimé sécable"
"CARBACTIVE 120 mg, gélule"
"CARBAGLU 200 mg, comprimé dispersible"
"CARBAMAZEPINE L.P. 200 mg, comprimé pelliculé sécable à libération prolongée"
"CARBAMAZEPINE L.P. 200 mg, comprimé sécable à libération prolongée"
"CARBAMAZEPINE L.P. 400 mg, comprimé pelliculé sécable à libération prolongée"
"CARBAMAZEPINE L.P. 400 mg, comprimé sécable à libération prolongée"
"CARBETOCINE AGUETTANT 100 microgrammes/ml, solution injectable en seringue pré-remplie"
"CARBOCAINE 10 mg/ml, solution injectable"
"CARBOCAINE 20 mg/ml, solution injectable"
"CARBOCISTEINE 5 % ADULTES SANS SUCRE, solution buvable édulcorée à la saccharine sodique"
"CARBOCISTEINE 5 % ADULTES SANS SUCRE, solution buvable édulcorée à la saccharine sodique et au maltitol liquide"
"CARBOCISTEINE 750 mg/15 mL ADULTES SANS SUCRE, solution buvable en sachet édulcorée à la saccharine sodique et au maltitol liquide"
"CARBOCISTEINE CLARIX 2 % ENFANTS, sirop"
"CARBOCISTEINE CLARIX 5 % ADULTES, solution buvable édulcorée à la saccharine sodique"
"CARBOCISTEINE CLARIX 750 mg/10 ml ADULTES, solution buvable en sachet édulcorée à la saccharine sodique, au sorbitol et au maltitol liquide"
"CARBOCISTEINE CONSEIL 2 % ENFANTS SANS SUCRE, sirop édulcoré à la saccharine sodique et au maltitol liquide"
"CARBOCISTEINE CONSEIL 2 % ENFANTS SANS SUCRE, solution buvable édulcorée au maltitol liquide et au sorbitol"
"CARBOCISTEINE CONSEIL 2 % ENFANTS SANS SUCRE, solution buvable édulcorée à la saccharine sodique"
"CARBOCISTEINE CONSEIL 2 % ENFANTS, sirop"
"CARBOCISTEINE CONSEIL 2 POUR CENT ENFANTS, sirop"
"CARBOCISTEINE CONSEIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique"
"CARBOCISTEINE CONSEIL 5 % ADULTES SANS SUCRE, solution buvable édulcorée au maltitol liquide et au sorbitol"
"CARBOCISTEINE CONSEIL 5 % ADULTES SANS SUCRE, solution buvable édulcorée à la saccharine sodique"
"CARBOCISTEINE CONSEIL 5 POUR CENT ADULTES, sirop"
"CARBOCISTEINE CONSEIL 5 POUR CENT SANS SUCRE, solution buvable en flacon édulcorée à la saccharine sodique"
"CARBOCISTEINE H2 PHARMA 2% ENFANTS SANS SUCRE, solution buvable édulcorée à la saccharine sodique"
"CARBOLEVURE ADULTES, gélule"
"CARBOPLATINE 10 mg/mL, solution pour perfusion"
"CARBOPLATINE 10 mg/mL, solution à diluer pour perfusion"
"CARBOPLATINE 10 mg/ml, solution pour perfusion"
"CARBOPLATINE HIKMA 10 mg/mL, solution à diluer pour perfusion"
"CARBOPLATINE HOSPIRA 10 mg/ml, solution injectable pour perfusion"
"CARBOPLATINE KABI 10 mg/ml, solution à diluer pour perfusion"
"CARBOPLATINE MEDAC 10 mg/mL, solution à diluer pour perfusion"
"CARBOSYLANE ENFANT, gélule"
"CARBOSYLANE, gélule"
"CARBOSYMAG, gélule"
"CARBOXYMALTOSE FERRIQUE 50 mg/mL, dispersion injectable/pour perfusion"
"CARDENSIEL 1,25 mg, comprimé pelliculé"
"CARDENSIEL 10 mg, comprimé pelliculé sécable"
"CARDENSIEL 2,5 mg, comprimé pelliculé sécable"
"CARDENSIEL 3,75 mg, comprimé pelliculé sécable"
"CARDENSIEL 5 mg, comprimé pelliculé sécable"
"CARDENSIEL 7,5 mg, comprimé pelliculé sécable"
"CARDIOCALM, comprimé pelliculé"
"CARDIOXANE 500 mg, poudre pour solution pour perfusion"
"CARIBAN 10 mg/10 mg, gélule à libération modifiée"
"CARLIN 75 microgrammes/20 microgrammes, comprimé enrobé"
"CARLIN 75 microgrammes/30 microgrammes, comprimé enrobé"
"CARLYTENE 30 mg, comprimé enrobé"
"CARMIN DINDIGO PROVINGO 40 mg/5 mL, solution injectable"
"CARMUSTINE 100 mg, poudre et solvant pour solution pour perfusion"
"CARMUSTINE ACCORDPHARMA 300 mg, poudre et solvant pour solution à diluer pour perfusion"
"CARMUSTINE MEDAC 100 mg, poudre et solvant pour solution à diluer pour perfusion"
"CARMYNE 40 mg/5 mL, solution injectable"
"CAROMINTHE, solution buvable en gouttes"
"CARTEOL 1 %, collyre en solution"
"CARTEOL 2 %, collyre en solution"
"CARTEOL L.P. 1 %, collyre à libération prolongée"
"CARTEOL L.P. 1 %, collyre à libération prolongée en récipient unidose"
"CARTEOL L.P. 2 % sans conservateur, collyre en solution à libération prolongée"
"CARTEOL L.P. 2 %, collyre à libération prolongée"
"CARTEOL L.P. 2 %, collyre à libération prolongée en récipient unidose"
"CARTIFIT 200 mg/250 mg, gélule"
"CARTREX 100 mg, comprimé pelliculé"
"CARVECORAL 12,5 mg/5 mg, comprimé pelliculé"
"CARVECORAL 12,5 mg/7,5 mg, comprimé pelliculé"
"CARVECORAL 25 mg/5 mg, comprimé pelliculé"
"CARVECORAL 25 mg/7,5 mg, comprimé pelliculé"
"CARVECORAL 6,25 mg/7,5 mg, comprimé pelliculé"
"CARVECORAL 6,25mg/5mg, comprimé pelliculé"
"CARVEDILOL 12,5 mg, comprimé pelliculé sécable"
"CARVEDILOL 12,5 mg, comprimé sécable"
"CARVEDILOL 25 mg, comprimé pelliculé sécable"
"CARVEDILOL 25 mg, comprimé sécable"
"CARVEDILOL 6,25 mg, comprimé pelliculé sécable"
"CARVEDILOL 6,25 mg, comprimé sécable"
"CARVYKTI 3,2 x 1 000 000 - 1 x 100 000 000 cellules, dispersion pour perfusion"
"CASGEVY 4 à 13 x 1 000 000 cellules/mL, dispersion pour perfusion"
"CASODEX 50 mg, comprimé enrobé"
"CASPOFUNGINE 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE 70 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE FRESENIUS KABI 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE FRESENIUS KABI 70 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE HIKMA 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE HIKMA 70 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE LORIEN 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE LORIEN 70 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE REDDY PHARMA 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE REDDY PHARMA 70 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE STRAGEN 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE STRAGEN 70 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE SUN 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE SUN 70 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE TILLOMED 50 mg, poudre pour solution à diluer pour perfusion"
"CASPOFUNGINE TILLOMED 70 mg, poudre pour solution à diluer pour perfusion"
"CATAPRESSAN 0,15 mg, comprimé sécable"
"CATAPRESSAN 0,15 mg/ml, solution injectable"
"CATIOLANZE 50 microgrammes/mL, collyre en émulsion"
"CAVERJECT 10 microgrammes/1 ml, lyophilisat et solution pour usage parentéral"
"CAVERJECT 20 microgrammes/1 ml, lyophilisat et solution pour usage parentéral"
"CAYSTON 75 mg, poudre et solvant pour solution pour inhalation"
"CEBEMYXINE, collyre en solution"
"CEBESINE 0,4 %, collyre en solution"
"CEBUTID 100 mg, comprimé enrobé"
"CEBUTID 50 mg, comprimé enrobé"
"CEBUTID LP 200 mg, gélule à libération prolongée"
"CEDACONDA 100 % V/V, liquide pour inhalation par vapeur"
"CEFADROXIL 500 mg, gélule"
"CEFADROXIL GENERIQUES 250 mg/5 ml, poudre pour suspension buvable"
"CEFALINE HAUTH 500 mg/50 mg, comprimé pelliculé sécable"
"CEFALINE HAUTH 500mg/50mg, poudre orale en sachet"
"CEFAZOLINE 1 g, poudre pour solution injectable (IM-IV)"
"CEFAZOLINE 1 g, poudre pour solution injectable/pour perfusion"
"CEFAZOLINE 1 g/5 ml, poudre et solution pour usage parentéral (IV)"
"CEFAZOLINE 2 g, poudre pour solution injectable (IM-IV)"
"CEFAZOLINE 2 g, poudre pour solution injectable/pour perfusion"
"CEFAZOLINE 2 g/10 ml, poudre et solution pour usage parentéral (IV)"
"CEFEPIME 1 g, poudre pour solution injectable"
"CEFEPIME 1 g, poudre pour solution injectable (IM/IV)"
"CEFEPIME 1 g, poudre pour solution injectable/pour perfusion (IM/IV)"
"CEFEPIME 2 g, poudre pour solution injectable"
"CEFEPIME 2 g, poudre pour solution injectable (IV)"
"CEFEPIME 2 g, poudre pour solution injectable/pour perfusion (IV)"
"CEFEPIME NORIDEM 1 g, poudre pour solution injectable/pour perfusion"
"CEFEPIME NORIDEM 2 g, poudre pour solution injectable/pour perfusion"
"CEFEPIME STRAGEN 1 g, poudre pour solution injectable/pour perfusion"
"CEFEPIME STRAGEN 2 g, poudre pour solution injectable/pour perfusion"
"CEFEPIME TAMRISA 0,5 g, poudre pour solution injectable (IM/IV)"
"CEFEPIME TAMRISA 1 g, poudre pour solution injectable (IM/IV)"
"CEFEPIME TAMRISA 2 g, poudre pour solution injectable (IV)"
"CEFIXIME 200 mg, comprimé pelliculé"
"CEFIXIME ENFANTS 100 mg/5 ml, poudre pour suspension buvable en flacon"
"CEFOTAXIME 0,5 g, poudre pour solution injectable (IM-IV)"
"CEFOTAXIME 1 g, poudre pour solution injectable (IM-IV)"
"CEFOTAXIME 2 g, poudre pour solution injectable (IM-IV)"
"CEFOTAXIME 500 mg, poudre pour solution injectable (IM-IV)"
